Time(ms)	RPM	Command
		
17783	0	25
18784	0	25
19784	0	25
20786	928	30
21786	660	30
22787	464	30
23788	986	35
24788	1350	35
25789	1363	35
26790	2030	40
27791	2233	40
28792	2340	40
29793	2726	45
30793	3000	45
31795	2900	45
32795	3450	50
33797	3451	50
34797	3570	50
35799	3799	55
36799	3990	55
37799	4020	55
38801	4147	60
39801	4410	60
40803	4234	60
41803	4680	65
42804	4582	65
43805	4582	65
44806	4901	70
45807	4988	70
46808	4959	70
47808	5430	75
48809	5249	75
49810	5278	75
50811	5452	80
51812	5452	80
52812	5670	80
53814	5771	85
54814	6000	85
55816	5800	85
56816	6240	90
57818	6090	90
58818	6270	90
59819	6409	95
60820	6438	95
61820	6660	95
62822	6757	100
63822	7050	100
64824	6786	100
65824	7320	105
66826	7105	105
67826	7320	105
68828	6815	100
69828	7020	100
70829	6757	100
71830	6438	95
72830	6630	95
73832	6409	95
74832	6270	90
75834	6032	90
76834	6240	90
77835	5742	85
78836	5742	85
79837	5713	85
80838	5452	80
81839	5452	80
82839	5610	80
83841	5249	75
84841	5400	75
85842	5249	75
86843	4959	70
87843	5100	70
88845	4930	70
89845	4770	65
90847	4553	65
91847	4710	65
92849	4263	60
93849	4350	60
94850	4234	60
95851	3915	55
96851	3990	55
97853	3857	55
98853	3660	50
99854	3451	50
100855	3451	50
101856	3016	45
102857	2900	45
103858	2900	45
104859	2436	40
105860	2291	40
106861	2291	40
107862	1711	35
108863	1392	35
109863	1440	35
110865	928	30
111865	540	30
112866	435	30
113867	87	25
114868	0	25
115868	0	25
